,provider_name,provider_id,quarter,score
0,A Friend's House ,563,Q1,105.0
1,A Friend's House ,563,Q2,108.15
2,A Friend's House ,563,Q3,104.55
3,A Friend's House ,563,Q4,108.21
4,Advocates for Bartow's ChildrenFlowering Branch Children's Shelter,564,Q1,96.59
5,Advocates for Bartow's ChildrenFlowering Branch Children's Shelter,564,Q2,92.75
6,Advocates for Bartow's ChildrenFlowering Branch Children's Shelter,564,Q3,93.28
7,Advocates for Bartow's ChildrenFlowering Branch Children's Shelter,564,Q4,90.98
8,"Agape Behavioral Healthcare, Inc.",694,Q1,85.32
9,"Agape Behavioral Healthcare, Inc.",694,Q2,78.53
10,"Agape Behavioral Healthcare, Inc.",694,Q3,54.94
11,"Agape Behavioral Healthcare, Inc.",694,Q4,72.67
12,"Alyssa and Brothers, Inc. dba RowleyResidence #2 ",908,Q1,87.77
13,"Alyssa and Brothers, Inc. dba RowleyResidence #2 ",908,Q2,97.53
14,"Alyssa and Brothers, Inc. dba RowleyResidence #2 ",908,Q3,100.3
15,"Alyssa and Brothers, Inc. dba RowleyResidence #2 ",908,Q4,94.22
16,Appalachian Children's EmergencyShelter ,5167,Q3,104.0
17,Appalachian Children's EmergencyShelter ,5167,Q4,72.57
18,"Ark Family Counseling Center, TheRicky Homes/Dallas ",569,Q1,107.5
19,"Ark Family Counseling Center, TheRicky Homes/Dallas ",569,Q2,97.47
20,"Ark Family Counseling Center, TheRicky Homes/Dallas ",569,Q3,105.62
21,"Ark Family Counseling Center, TheRicky Homes/Dallas ",569,Q4,104.01
22,"Ark Family Counseling Center, TheRicky Homes/Decatur ",571,Q1,92.36
23,"Ark Family Counseling Center, TheRicky Homes/Decatur ",571,Q2,99.1
24,"Ark Family Counseling Center, TheRicky Homes/Decatur ",571,Q3,93.55
25,"Ark Family Counseling Center, TheRicky Homes/Decatur ",571,Q4,105.67
26,"Ark Family Counseling Center, TheRicky Homes/Lithonia ",591,Q1,104.92
27,"Ark Family Counseling Center, TheRicky Homes/Lithonia ",591,Q2,101.99
28,"Ark Family Counseling Center, TheRicky Homes/Lithonia ",591,Q3,103.64
29,"Ark Family Counseling Center, TheRicky Homes/Lithonia ",591,Q4,103.64
30,"Ark Family Counseling Center, TheRicky Homes/Powder Springs ",570,Q1,105.5
